['00280', '00280_0003839_cnn_inception100.csv', '5.37514e-06']
['00374', '00374_0003230_cnn_inception100.csv', '0.00017512']
['00153', '00153_0005788_cnn_inception100.csv', '0.00339013']
['01747', '01747_0004172_cnn_inception100.csv', '0.00192915']
['01892', '01892_0003399_cnn_inception100.csv', '0.00554287']
['01926', '01926_0001111_cnn_inception100.csv', '0.000602139']
['02800', '02800_0001817_cnn_inception100.csv', '0.00116469']
['02911', '02911_0012463_cnn_inception100.csv', '0.00121823']
['02820', '02820_0017559_cnn_inception100.csv', '0.00220331']
['02834', '02834_0004022_cnn_inception100.csv', '0.00119732']
['02588', '02588_0002221_cnn_inception100.csv', '0.00305239']
['02403', '02403_0012256_cnn_inception100.csv', '0.00160251']
['02096', '02096_0004879_cnn_inception100.csv', '0.00263374']
['02121', '02121_0002969_cnn_inception100.csv', '0.000256595']
['03679', '03679_0009394_cnn_inception100.csv', '0.000543151']
['03697', '03697_0002214_cnn_inception100.csv', '0.00312121']
['03858', '03858_0004914_cnn_inception100.csv', '0.000342239']
['03603', '03603_0009100_cnn_inception100.csv', '0.00166925']
['04102', '04102_0002496_cnn_inception100.csv', '0.0139268']
['04078', '04078_0005348_cnn_inception100.csv', '0.00811369']
['04413', '04413_0000368_cnn_inception100.csv', '3.73068e-05']
['04302', '04302_0003520_cnn_inception100.csv', '0.00157775']
['04661', '04661_0000134_cnn_inception100.csv', '0.00827983']
['04690', '04690_0001107_cnn_inception100.csv', '0.0574425']
['04847', '04847_0004706_cnn_inception100.csv', '0.026858']
['04841', '04841_0005893_cnn_inception100.csv', '0.00304498']
['05376', '05376_0000084_cnn_inception100.csv', '0.00421821']
['05192', '05192_0003781_cnn_inception100.csv', '0.0016807']
['05074', '05074_0004185_cnn_inception100.csv', '0.0134396']
['05589', '05589_0027305_cnn_inception100.csv', '0.0013416']
['05596', '05596_0001390_cnn_inception100.csv', '0.00765015']
['06392', '06392_0000228_cnn_inception100.csv', '0.00106709']
['06277', '06277_0005878_cnn_inception100.csv', '0.00170643']
['06095', '06095_0007815_cnn_inception100.csv', '4.24797e-05']
['06023', '06023_0010004_cnn_inception100.csv', '0.00439976']
['06961', '06961_0003054_cnn_inception100.csv', '0.00659945']
['06745', '06745_0008056_cnn_inception100.csv', '0.00119204']
['06971', '06971_0047411_cnn_inception100.csv', '0.00341012']
['07017', '07017_0002401_cnn_inception100.csv', '0.00728147']
['07025', '07025_0002452_cnn_inception100.csv', '0.000990383']
['07308', '07308_0007330_cnn_inception100.csv', '0.0218073']
['07377', '07377_0003641_cnn_inception100.csv', '0.000256462']
