['00132', '00132_0000788_cnn_inception100.csv', '0.00821045']
['00457', '00457_0003601_cnn_inception100.csv', '0.00899057']
['00137', '00137_0000967_cnn_inception100.csv', '0.00211618']
['00086', '00086_0002197_cnn_inception100.csv', '0.00152335']
['00835', '00835_0000955_cnn_inception100.csv', '0.0008493']
['00900', '00900_0004932_cnn_inception100.csv', '0.018485']
['00592', '00592_0008835_cnn_inception100.csv', '0.000808866']
['00901', '00901_0003534_cnn_inception100.csv', '0.000300525']
['00920', '00920_0000410_cnn_inception100.csv', '0.0213264']
['01251', '01251_0002224_cnn_inception100.csv', '0.00358922']
['01036', '01036_0004074_cnn_inception100.csv', '0.00358026']
['01259', '01259_0002285_cnn_inception100.csv', '0.00199187']
['01311', '01311_0001050_cnn_inception100.csv', '0.0360469']
['01112', '01112_0005496_cnn_inception100.csv', '0.000764396']
['01680', '01680_0001028_cnn_inception100.csv', '0.000307121']
['01836', '01836_0004860_cnn_inception100.csv', '0.00155495']
['02806', '02806_0024339_cnn_inception100.csv', '0.00797445']
['02973', '02973_0001392_cnn_inception100.csv', '0.00259233']
['02504', '02504_0007704_cnn_inception100.csv', '0.00163298']
['02152', '02152_0009183_cnn_inception100.csv', '0.00296232']
['02044', '02044_0006666_cnn_inception100.csv', '0.00523568']
['02345', '02345_0007765_cnn_inception100.csv', '0.0472344']
['03421', '03421_0001687_cnn_inception100.csv', '0.000704529']
['03042', '03042_0005479_cnn_inception100.csv', '0.00119364']
['03021', '03021_0004608_cnn_inception100.csv', '7.75386e-05']
['03010', '03010_0005259_cnn_inception100.csv', '0.000645756']
['03525', '03525_0008726_cnn_inception100.csv', '5.67347e-05']
['03523', '03523_0001452_cnn_inception100.csv', '0.00228284']
['03697', '03697_0002214_cnn_inception100.csv', '0.0546364']
['03688', '03688_0005052_cnn_inception100.csv', '0.000472615']
['03797', '03797_0001847_cnn_inception100.csv', '0.00374948']
['03503', '03503_0002769_cnn_inception100.csv', '0.00389642']
['03941', '03941_0008621_cnn_inception100.csv', '0.0022336']
['04208', '04208_0004188_cnn_inception100.csv', '0.00156248']
['04152', '04152_0000785_cnn_inception100.csv', '0.00171745']
['04153', '04153_0003514_cnn_inception100.csv', '0.00655945']
['04089', '04089_0002817_cnn_inception100.csv', '0.00184054']
['04620', '04620_0007587_cnn_inception100.csv', '0.000843059']
['04800', '04800_0013069_cnn_inception100.csv', '0.00088412']
['04726', '04726_0002458_cnn_inception100.csv', '0.00207291']
['05006', '05006_0008962_cnn_inception100.csv', '0.00645318']
['05931', '05931_0004761_cnn_inception100.csv', '0.00158557']
['05601', '05601_0000905_cnn_inception100.csv', '0.0174822']
['05766', '05766_0000850_cnn_inception100.csv', '0.00512884']
['06155', '06155_0000639_cnn_inception100.csv', '1.59988e-05']
['06277', '06277_0005878_cnn_inception100.csv', '0.00971259']
['06092', '06092_0005408_cnn_inception100.csv', '0.00161999']
['06655', '06655_0000676_cnn_inception100.csv', '0.00297493']
['06701', '06701_0002094_cnn_inception100.csv', '0.00191776']
['06804', '06804_0012373_cnn_inception100.csv', '0.000674196']
['06785', '06785_0005504_cnn_inception100.csv', '0.00479777']
['06587', '06587_0005319_cnn_inception100.csv', '0.00463473']
['07212', '07212_0000757_cnn_inception100.csv', '0.000630508']
['07243', '07243_0001030_cnn_inception100.csv', '0.00021485']
['07076', '07076_0002429_cnn_inception100.csv', '0.000257483']
['07446', '07446_0002988_cnn_inception100.csv', '0.00381762']
['07274', '07274_0006142_cnn_inception100.csv', '0.00081444']
['07336', '07336_0003585_cnn_inception100.csv', '0.00234846']
